call_id,call_datetime,call_date,call_time,direction,status,duration_sec,duration_fmt,account_id,delinquency_bucket,agent_id,agent_name,agent_type,sentiment,ptp_outcome,ptp_amount_sar,latency_ms,call_score
CL-8009,2026-02-24 18:19:43,2026-02-24,18:19:43,Outbound,USER DID NOT ANSWER,0,0s,WAT-005000,1-30 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,1159,
CL-8008,2026-02-24 19:28:02,2026-02-24,19:28:02,Outbound,USER DID NOT ANSWER,0,0s,WAT-006757,31-60 DPD,AGT-008,Hessa Al-Ghamdi,Human,N/A,No Contact,0,1268,
CL-8013,2026-02-24 19:55:59,2026-02-24,19:55:59,Outbound,USER DID NOT ANSWER,0,0s,WAT-002333,31-60 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,648,
CL-8018,2026-02-25 08:12:27,2026-02-25,08:12:27,Outbound,NO CUSTOMER SPEECH,21,0m 21s,WAT-006502,61-90 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,354,
CL-8020,2026-02-25 09:45:16,2026-02-25,09:45:16,Outbound,DECLINED BY USER,27,0m 27s,WAT-000591,1-30 DPD,AGT-012,Nora Al-Khalid,Human,N/A,No Contact,0,6261,
CL-8019,2026-02-25 15:24:08,2026-02-25,15:24:08,Outbound,USER DID NOT ANSWER,0,0s,WAT-001017,1-30 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,7576,
CL-8015,2026-02-25 15:40:49,2026-02-25,15:40:49,Outbound,DECLINED BY USER,27,0m 27s,WAT-001284,1-30 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,2670,
CL-8016,2026-02-25 15:59:39,2026-02-25,15:59:39,Outbound,DECLINED BY USER,42,0m 42s,WAT-009934,1-30 DPD,AGT-021,Bandar Al-Qahtani,Human,N/A,No Contact,0,748,
CL-8021,2026-02-25 17:45:51,2026-02-25,17:45:51,Outbound,FINISHED,64,1m 4s,WAT-005543,31-60 DPD,AI-BOT,AI Voice Bot,AI,Neutral,PTP Captured,1376000,577,6.7
CL-8014,2026-02-25 18:20:04,2026-02-25,18:20:04,Outbound,DECLINED BY USER,6,0m 6s,WAT-002844,NPA,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,1767,
CL-8017,2026-02-25 20:17:49,2026-02-25,20:17:49,Outbound,USER DID NOT ANSWER,0,0s,WAT-002556,31-60 DPD,AGT-012,Nora Al-Khalid,Human,N/A,No Contact,0,4151,
CL-8033,2026-02-26 08:09:19,2026-02-26,08:09:19,Outbound,NO CUSTOMER SPEECH,1,0m 1s,WAT-001102,NPA,AGT-003,Khaled Al-Otaibi,Human,N/A,No Contact,0,9910,
CL-8022,2026-02-26 08:34:07,2026-02-26,08:34:07,Outbound,NO CUSTOMER SPEECH,25,0m 25s,WAT-006922,1-30 DPD,AGT-007,Faisal Al-Rashidi,Human,N/A,No Contact,0,15227,
CL-8024,2026-02-26 11:51:08,2026-02-26,11:51:08,Outbound,USER DID NOT ANSWER,0,0s,WAT-009797,1-30 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,1871,
CL-8025,2026-02-26 13:19:32,2026-02-26,13:19:32,Outbound,USER DID NOT ANSWER,0,0s,WAT-001615,31-60 DPD,AGT-007,Faisal Al-Rashidi,Human,N/A,No Contact,0,4393,
CL-8026,2026-02-26 13:54:35,2026-02-26,13:54:35,Outbound,USER DID NOT ANSWER,0,0s,WAT-001780,1-30 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,4478,
CL-8031,2026-02-26 14:17:44,2026-02-26,14:17:44,Outbound,DECLINED BY USER,0,0s,WAT-006789,1-30 DPD,AGT-011,Turki Al-Harbi,Human,N/A,No Contact,0,2434,
CL-8032,2026-02-26 14:32:08,2026-02-26,14:32:08,Outbound,NO CUSTOMER SPEECH,12,0m 12s,WAT-003573,31-60 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,6169,
CL-8027,2026-02-26 15:04:24,2026-02-26,15:04:24,Outbound,FINISHED,109,1m 49s,WAT-002122,NPA,AI-BOT,AI Voice Bot,AI,Neutral,Broken PTP,0,1921,4.7
CL-8023,2026-02-26 15:04:52,2026-02-26,15:04:52,Outbound,NO CUSTOMER SPEECH,20,0m 20s,WAT-008534,1-30 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,2854,
CL-8030,2026-02-26 15:18:53,2026-02-26,15:18:53,Outbound,NO CUSTOMER SPEECH,6,0m 6s,WAT-006441,1-30 DPD,AGT-021,Bandar Al-Qahtani,Human,N/A,No Contact,0,1101,
CL-8029,2026-02-26 16:29:07,2026-02-26,16:29:07,Outbound,USER DID NOT ANSWER,0,0s,WAT-006374,31-60 DPD,AGT-012,Nora Al-Khalid,Human,N/A,No Contact,0,2429,
CL-8028,2026-02-26 17:01:05,2026-02-26,17:01:05,Outbound,USER DID NOT ANSWER,0,0s,WAT-002818,1-30 DPD,AGT-003,Khaled Al-Otaibi,Human,N/A,No Contact,0,2219,
CL-8036,2026-02-27 08:53:10,2026-02-27,08:53:10,Outbound,FINISHED,10,0m 10s,WAT-004427,61-90 DPD,AGT-007,Faisal Al-Rashidi,Human,Neutral,Broken PTP,0,2058,7.1
CL-8039,2026-02-27 09:34:23,2026-02-27,09:34:23,Outbound,FINISHED,57,0m 57s,WAT-009012,1-30 DPD,AGT-024,Mohammed Al-Zahrani,Human,Neutral,No PTP,0,1050,6.9
CL-8037,2026-02-27 09:42:46,2026-02-27,09:42:46,Outbound,USER DID NOT ANSWER,0,0s,WAT-003261,1-30 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,1486,
CL-8040,2026-02-27 10:11:03,2026-02-27,10:11:03,Outbound,NO CUSTOMER SPEECH,20,0m 20s,WAT-003996,31-60 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,1087,
CL-8049,2026-02-27 10:26:26,2026-02-27,10:26:26,Outbound,FINISHED,69,1m 9s,WAT-003050,1-30 DPD,AI-BOT,AI Voice Bot,AI,Neutral,PTP Captured,259700,974,6.1
CL-8046,2026-02-27 12:30:33,2026-02-27,12:30:33,Outbound,DECLINED BY USER,18,0m 18s,WAT-006577,1-30 DPD,AGT-011,Turki Al-Harbi,Human,N/A,No Contact,0,1390,
CL-8038,2026-02-27 13:03:06,2026-02-27,13:03:06,Outbound,USER DID NOT ANSWER,0,0s,WAT-002535,31-60 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,584,
CL-8042,2026-02-27 13:18:48,2026-02-27,13:18:48,Outbound,NO CUSTOMER SPEECH,23,0m 23s,WAT-008818,31-60 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,1005,
CL-8041,2026-02-27 13:57:42,2026-02-27,13:57:42,Outbound,NO CUSTOMER SPEECH,13,0m 13s,WAT-006893,61-90 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,1072,
CL-8043,2026-02-27 14:50:57,2026-02-27,14:50:57,Outbound,NO CUSTOMER SPEECH,43,0m 43s,WAT-009409,NPA,AGT-008,Hessa Al-Ghamdi,Human,N/A,No Contact,0,1170,
CL-8045,2026-02-27 15:08:04,2026-02-27,15:08:04,Outbound,USER DID NOT ANSWER,0,0s,WAT-006511,1-30 DPD,AGT-012,Nora Al-Khalid,Human,N/A,No Contact,0,1142,
CL-8047,2026-02-27 20:26:05,2026-02-27,20:26:05,Outbound,DECLINED BY USER,26,0m 26s,WAT-003067,1-30 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,7011,
CL-8035,2026-02-27 21:03:32,2026-02-27,21:03:32,Outbound,FINISHED,49,0m 49s,WAT-000935,Write-off,AI-BOT,AI Voice Bot,AI,Positive,Refused,0,10428,8.3
CL-8048,2026-02-27 21:15:57,2026-02-27,21:15:57,Outbound,USER DID NOT ANSWER,0,0s,WAT-009191,NPA,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,834,
CL-8034,2026-02-27 21:24:33,2026-02-27,21:24:33,Outbound,NO CUSTOMER SPEECH,20,0m 20s,WAT-000629,31-60 DPD,AGT-024,Mohammed Al-Zahrani,Human,N/A,No Contact,0,623,
CL-8044,2026-02-27 21:46:31,2026-02-27,21:46:31,Outbound,USER DID NOT ANSWER,0,0s,WAT-007785,1-30 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,1195,
CL-8059,2026-02-28 09:20:25,2026-02-28,09:20:25,Outbound,DECLINED BY USER,38,0m 38s,WAT-002269,1-30 DPD,AGT-011,Turki Al-Harbi,Human,N/A,No Contact,0,1974,
CL-8068,2026-02-28 10:19:50,2026-02-28,10:19:50,Outbound,FINISHED,79,1m 19s,WAT-001158,1-30 DPD,AGT-021,Bandar Al-Qahtani,Human,Neutral,No PTP,0,2147,5.9
CL-8055,2026-02-28 10:54:47,2026-02-28,10:54:47,Outbound,FINISHED,177,2m 57s,WAT-000074,31-60 DPD,AI-BOT,AI Voice Bot,AI,Negative,PTP Captured,507700,3297,3.5
CL-8057,2026-02-28 11:05:52,2026-02-28,11:05:52,Outbound,NO CUSTOMER SPEECH,8,0m 8s,WAT-002076,61-90 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,4664,
CL-8070,2026-02-28 11:35:21,2026-02-28,11:35:21,Outbound,NO CUSTOMER SPEECH,39,0m 39s,WAT-002231,31-60 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,1708,
CL-8063,2026-02-28 12:06:20,2026-02-28,12:06:20,Outbound,DECLINED BY USER,34,0m 34s,WAT-001639,NPA,AGT-021,Bandar Al-Qahtani,Human,N/A,No Contact,0,2071,
CL-8056,2026-02-28 12:45:17,2026-02-28,12:45:17,Outbound,USER DID NOT ANSWER,0,0s,WAT-008674,61-90 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,708,
CL-8065,2026-02-28 13:19:35,2026-02-28,13:19:35,Outbound,USER DID NOT ANSWER,0,0s,WAT-009112,1-30 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,9381,
CL-8064,2026-02-28 14:19:47,2026-02-28,14:19:47,Outbound,FINISHED,76,1m 16s,WAT-002160,31-60 DPD,AGT-024,Mohammed Al-Zahrani,Human,Neutral,PTP Captured,894000,641,4.8
CL-8053,2026-02-28 14:23:22,2026-02-28,14:23:22,Outbound,USER DID NOT ANSWER,0,0s,WAT-000257,61-90 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,852,
CL-8066,2026-02-28 15:15:21,2026-02-28,15:15:21,Outbound,USER DID NOT ANSWER,0,0s,WAT-009459,Write-off,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,389,
CL-8058,2026-02-28 16:13:52,2026-02-28,16:13:52,Outbound,USER DID NOT ANSWER,0,0s,WAT-000953,NPA,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,2638,
CL-8051,2026-02-28 16:52:13,2026-02-28,16:52:13,Outbound,USER DID NOT ANSWER,0,0s,WAT-006379,31-60 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,2274,
CL-8050,2026-02-28 16:54:22,2026-02-28,16:54:22,Outbound,DECLINED BY USER,12,0m 12s,WAT-000651,61-90 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,2547,
CL-8060,2026-02-28 17:09:49,2026-02-28,17:09:49,Outbound,FINISHED,54,0m 54s,WAT-009268,1-30 DPD,AI-BOT,AI Voice Bot,AI,Neutral,Broken PTP,0,1125,4.8
CL-8067,2026-02-28 17:24:52,2026-02-28,17:24:52,Outbound,USER DID NOT ANSWER,0,0s,WAT-007797,Write-off,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,1855,
CL-8052,2026-02-28 17:43:38,2026-02-28,17:43:38,Outbound,DECLINED BY USER,11,0m 11s,WAT-000749,61-90 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,483,
CL-8069,2026-02-28 18:25:51,2026-02-28,18:25:51,Outbound,USER DID NOT ANSWER,0,0s,WAT-000376,1-30 DPD,AGT-024,Mohammed Al-Zahrani,Human,N/A,No Contact,0,3667,
CL-8054,2026-02-28 20:17:55,2026-02-28,20:17:55,Outbound,FINISHED,96,1m 36s,WAT-002321,1-30 DPD,AGT-021,Bandar Al-Qahtani,Human,Neutral,Broken PTP,0,839,7.3
CL-8061,2026-02-28 20:48:04,2026-02-28,20:48:04,Outbound,USER DID NOT ANSWER,0,0s,WAT-000503,1-30 DPD,AGT-012,Nora Al-Khalid,Human,N/A,No Contact,0,283,
CL-8062,2026-02-28 21:32:31,2026-02-28,21:32:31,Outbound,USER DID NOT ANSWER,0,0s,WAT-002014,61-90 DPD,AGT-012,Nora Al-Khalid,Human,N/A,No Contact,0,4939,
CL-8090,2026-03-02 08:48:42,2026-03-02,08:48:42,Outbound,USER DID NOT ANSWER,0,0s,WAT-004361,NPA,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,2710,
CL-8095,2026-03-02 09:57:05,2026-03-02,09:57:05,Outbound,DECLINED BY USER,28,0m 28s,WAT-007901,NPA,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,1910,
CL-8089,2026-03-02 09:57:58,2026-03-02,09:57:58,Outbound,DECLINED BY USER,30,0m 30s,WAT-001010,NPA,AGT-011,Turki Al-Harbi,Human,N/A,No Contact,0,2213,
CL-8081,2026-03-02 10:42:23,2026-03-02,10:42:23,Outbound,FINISHED,15,0m 15s,WAT-009852,1-30 DPD,AGT-003,Khaled Al-Otaibi,Human,Neutral,Refused,0,596,7.2
CL-8093,2026-03-02 11:09:48,2026-03-02,11:09:48,Outbound,NO CUSTOMER SPEECH,30,0m 30s,WAT-003098,61-90 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,3857,
CL-8082,2026-03-02 11:13:55,2026-03-02,11:13:55,Outbound,NO CUSTOMER SPEECH,35,0m 35s,WAT-009207,NPA,AGT-011,Turki Al-Harbi,Human,N/A,No Contact,0,5379,
CL-8076,2026-03-02 11:22:35,2026-03-02,11:22:35,Outbound,NO CUSTOMER SPEECH,0,0s,WAT-002172,NPA,AGT-011,Turki Al-Harbi,Human,N/A,No Contact,0,353,
CL-8084,2026-03-02 11:50:59,2026-03-02,11:50:59,Outbound,NO CUSTOMER SPEECH,14,0m 14s,WAT-006549,61-90 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,596,
CL-8096,2026-03-02 12:32:41,2026-03-02,12:32:41,Outbound,NO CUSTOMER SPEECH,35,0m 35s,WAT-006323,Write-off,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,1398,
CL-8092,2026-03-02 13:37:41,2026-03-02,13:37:41,Outbound,USER DID NOT ANSWER,0,0s,WAT-000015,1-30 DPD,AGT-011,Turki Al-Harbi,Human,N/A,No Contact,0,1171,
CL-8075,2026-03-02 14:03:47,2026-03-02,14:03:47,Outbound,FINISHED,42,0m 42s,WAT-005316,61-90 DPD,AGT-012,Nora Al-Khalid,Human,Neutral,Refused,0,1970,5.4
CL-8074,2026-03-02 14:22:05,2026-03-02,14:22:05,Outbound,DECLINED BY USER,7,0m 7s,WAT-004494,31-60 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,4678,
CL-8072,2026-03-02 14:23:57,2026-03-02,14:23:57,Outbound,USER DID NOT ANSWER,0,0s,WAT-007828,31-60 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,1453,
CL-8086,2026-03-02 15:32:46,2026-03-02,15:32:46,Outbound,USER DID NOT ANSWER,0,0s,WAT-007966,NPA,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,2988,
CL-8073,2026-03-02 16:30:01,2026-03-02,16:30:01,Outbound,FINISHED,87,1m 27s,WAT-008695,31-60 DPD,AGT-021,Bandar Al-Qahtani,Human,Neutral,No PTP,0,2681,6.1
CL-8077,2026-03-02 16:36:08,2026-03-02,16:36:08,Outbound,NO CUSTOMER SPEECH,28,0m 28s,WAT-004538,61-90 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,1360,
CL-8080,2026-03-02 17:00:42,2026-03-02,17:00:42,Web,NO CUSTOMER SPEECH,22,0m 22s,WAT-005980,1-30 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,1296,
CL-8079,2026-03-02 17:16:06,2026-03-02,17:16:06,Outbound,DECLINED BY USER,32,0m 32s,WAT-005839,NPA,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,9320,
CL-8085,2026-03-02 17:22:42,2026-03-02,17:22:42,Outbound,DECLINED BY USER,36,0m 36s,WAT-000815,1-30 DPD,AGT-007,Faisal Al-Rashidi,Human,N/A,No Contact,0,1686,
CL-8083,2026-03-02 17:31:04,2026-03-02,17:31:04,Outbound,USER DID NOT ANSWER,0,0s,WAT-003018,Write-off,AGT-011,Turki Al-Harbi,Human,N/A,No Contact,0,1556,
CL-8087,2026-03-02 18:29:50,2026-03-02,18:29:50,Outbound,FINISHED,21,0m 21s,WAT-002045,31-60 DPD,AI-BOT,AI Voice Bot,AI,Neutral,PTP Captured,466700,468,6.5
CL-8091,2026-03-02 18:48:16,2026-03-02,18:48:16,Outbound,NO CUSTOMER SPEECH,4,0m 4s,WAT-009611,61-90 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,4536,
CL-8071,2026-03-02 18:49:25,2026-03-02,18:49:25,Outbound,DECLINED BY USER,21,0m 21s,WAT-007159,Write-off,AGT-024,Mohammed Al-Zahrani,Human,N/A,No Contact,0,4039,
CL-8078,2026-03-02 19:19:26,2026-03-02,19:19:26,Outbound,NO CUSTOMER SPEECH,34,0m 34s,WAT-006074,61-90 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,3770,
CL-8088,2026-03-02 19:28:41,2026-03-02,19:28:41,Outbound,NO CUSTOMER SPEECH,34,0m 34s,WAT-002986,1-30 DPD,AGT-007,Faisal Al-Rashidi,Human,N/A,No Contact,0,1427,
CL-8094,2026-03-02 21:07:18,2026-03-02,21:07:18,Outbound,NO CUSTOMER SPEECH,16,0m 16s,WAT-005218,NPA,AGT-011,Turki Al-Harbi,Human,N/A,No Contact,0,1008,
CL-8113,2026-03-03 09:05:56,2026-03-03,09:05:56,Outbound,DECLINED BY USER,2,0m 2s,WAT-004137,NPA,AGT-008,Hessa Al-Ghamdi,Human,N/A,No Contact,0,468,
CL-8116,2026-03-03 09:26:50,2026-03-03,09:26:50,Outbound,USER DID NOT ANSWER,0,0s,WAT-003075,61-90 DPD,AGT-024,Mohammed Al-Zahrani,Human,N/A,No Contact,0,1046,
CL-8109,2026-03-03 09:48:36,2026-03-03,09:48:36,Outbound,FINISHED,42,0m 42s,WAT-004490,1-30 DPD,AI-BOT,AI Voice Bot,AI,Neutral,Broken PTP,0,1203,5.8
CL-8118,2026-03-03 10:00:59,2026-03-03,10:00:59,Outbound,USER DID NOT ANSWER,0,0s,WAT-000310,1-30 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,453,
CL-8099,2026-03-03 10:01:21,2026-03-03,10:01:21,Outbound,NO CUSTOMER SPEECH,38,0m 38s,WAT-005071,1-30 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,5534,
CL-8103,2026-03-03 10:15:52,2026-03-03,10:15:52,Outbound,NO CUSTOMER SPEECH,44,0m 44s,WAT-009403,1-30 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,960,
CL-8125,2026-03-03 11:21:26,2026-03-03,11:21:26,Outbound,DECLINED BY USER,30,0m 30s,WAT-005074,1-30 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,3347,
CL-8102,2026-03-03 12:35:50,2026-03-03,12:35:50,Outbound,NO CUSTOMER SPEECH,17,0m 17s,WAT-001808,1-30 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,1880,
CL-8106,2026-03-03 14:23:36,2026-03-03,14:23:36,Outbound,USER DID NOT ANSWER,0,0s,WAT-008335,1-30 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,555,
CL-8119,2026-03-03 14:33:08,2026-03-03,14:33:08,Outbound,DECLINED BY USER,4,0m 4s,WAT-009682,31-60 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,1417,
CL-8115,2026-03-03 14:54:57,2026-03-03,14:54:57,Outbound,USER DID NOT ANSWER,0,0s,WAT-009053,31-60 DPD,AGT-024,Mohammed Al-Zahrani,Human,N/A,No Contact,0,4393,
CL-8122,2026-03-03 15:01:11,2026-03-03,15:01:11,Outbound,NO CUSTOMER SPEECH,7,0m 7s,WAT-005503,1-30 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,685,
CL-8124,2026-03-03 15:18:12,2026-03-03,15:18:12,Outbound,FINISHED,27,0m 27s,WAT-009242,61-90 DPD,AI-BOT,AI Voice Bot,AI,Negative,No PTP,0,3471,1.5
CL-8114,2026-03-03 16:26:36,2026-03-03,16:26:36,Web,FINISHED,163,2m 43s,WAT-002010,1-30 DPD,AI-BOT,AI Voice Bot,AI,Neutral,PTP Captured,168700,6284,6.1
CL-8117,2026-03-03 16:29:11,2026-03-03,16:29:11,Outbound,USER DID NOT ANSWER,0,0s,WAT-007331,31-60 DPD,AGT-003,Khaled Al-Otaibi,Human,N/A,No Contact,0,2694,
CL-8105,2026-03-03 16:36:45,2026-03-03,16:36:45,Outbound,FINISHED,132,2m 12s,WAT-005873,31-60 DPD,AGT-007,Faisal Al-Rashidi,Human,Positive,No PTP,0,1076,7.6
CL-8112,2026-03-03 16:41:18,2026-03-03,16:41:18,Outbound,NO CUSTOMER SPEECH,27,0m 27s,WAT-006521,61-90 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,1660,
CL-8110,2026-03-03 16:43:51,2026-03-03,16:43:51,Outbound,FINISHED,187,3m 7s,WAT-002033,1-30 DPD,AI-BOT,AI Voice Bot,AI,Neutral,No PTP,0,4040,5.5
CL-8108,2026-03-03 16:56:37,2026-03-03,16:56:37,Outbound,DECLINED BY USER,7,0m 7s,WAT-003149,31-60 DPD,AGT-024,Mohammed Al-Zahrani,Human,N/A,No Contact,0,395,
CL-8098,2026-03-03 16:56:42,2026-03-03,16:56:42,Outbound,NO CUSTOMER SPEECH,24,0m 24s,WAT-003708,31-60 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,2312,
CL-8128,2026-03-03 17:34:14,2026-03-03,17:34:14,Outbound,USER DID NOT ANSWER,0,0s,WAT-002447,61-90 DPD,AGT-003,Khaled Al-Otaibi,Human,N/A,No Contact,0,884,
CL-8100,2026-03-03 18:03:23,2026-03-03,18:03:23,Outbound,NO CUSTOMER SPEECH,16,0m 16s,WAT-005567,1-30 DPD,AGT-003,Khaled Al-Otaibi,Human,N/A,No Contact,0,2577,
CL-8111,2026-03-03 18:29:27,2026-03-03,18:29:27,Outbound,USER DID NOT ANSWER,0,0s,WAT-003059,31-60 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,5039,
CL-8097,2026-03-03 18:36:34,2026-03-03,18:36:34,Outbound,FINISHED,149,2m 29s,WAT-004865,1-30 DPD,AI-BOT,AI Voice Bot,AI,Negative,Broken PTP,0,3105,3.6
CL-8127,2026-03-03 18:39:00,2026-03-03,18:39:00,Outbound,USER DID NOT ANSWER,0,0s,WAT-000149,Write-off,AGT-021,Bandar Al-Qahtani,Human,N/A,No Contact,0,1516,
CL-8121,2026-03-03 18:46:30,2026-03-03,18:46:30,Outbound,NO CUSTOMER SPEECH,17,0m 17s,WAT-004197,NPA,AGT-007,Faisal Al-Rashidi,Human,N/A,No Contact,0,1804,
CL-8123,2026-03-03 18:54:05,2026-03-03,18:54:05,Outbound,USER DID NOT ANSWER,0,0s,WAT-006421,31-60 DPD,AGT-024,Mohammed Al-Zahrani,Human,N/A,No Contact,0,227,
CL-8101,2026-03-03 19:23:14,2026-03-03,19:23:14,Outbound,NO CUSTOMER SPEECH,35,0m 35s,WAT-001849,31-60 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,673,
CL-8126,2026-03-03 19:28:00,2026-03-03,19:28:00,Outbound,FINISHED,14,0m 14s,WAT-006595,1-30 DPD,AI-BOT,AI Voice Bot,AI,Positive,Broken PTP,0,1728,9.6
CL-8120,2026-03-03 20:14:22,2026-03-03,20:14:22,Outbound,NO CUSTOMER SPEECH,13,0m 13s,WAT-002216,61-90 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,1178,
CL-8107,2026-03-03 20:18:59,2026-03-03,20:18:59,Web,USER DID NOT ANSWER,0,0s,WAT-003725,31-60 DPD,AI-BOT,AI Voice Bot,AI,N/A,No Contact,0,1602,
CL-8104,2026-03-03 21:53:40,2026-03-03,21:53:40,Outbound,FINISHED,127,2m 7s,WAT-003222,Write-off,AI-BOT,AI Voice Bot,AI,Neutral,No PTP,0,4573,5.4
CL-8141,2026-03-04 09:18:32,2026-03-04,09:18:32,Web,FINISHED,195,3m 15s,WAT-002672,NPA,AI-BOT,AI Voice Bot,AI,Neutral,No PTP,0,1701,4.5
CL-8166,2026-03-04 10:00:15,2026-03-04,10:00:15,Outbound,DECLINED BY USER,8,0m 8s,WAT-002416,1-30 DPD,AGT-003,Khaled Al-Otaibi,Human,N/A,No Contact,0,1837,
