date,day_type,week_number,dpd_bucket,channel,template_name,attempt_count,success_count,success_pct
2026-04-03,Weekend,1,31-60 DPD,IVR,Due_Reminder_EN,2826,883,0.312456
2026-04-03,Weekend,1,61-90 DPD,IVR,LPC_EN,1355,381,0.281181
2026-04-03,Weekend,1,>91 DPD,IVR,NPA_Offer_EN,3714,791,0.212978
2026-04-03,Weekend,1,Write-off,IVR,Write_Off_EN,3604,570,0.158158
2026-04-04,Weekend,1,1-30 DPD,IVR,Due_Reminder_EN,4876,1881,0.385767
2026-04-04,Weekend,1,31-60 DPD,IVR,Due_Reminder_EN,2831,821,0.290004
2026-04-04,Weekend,1,61-90 DPD,IVR,LPC_EN,1342,356,0.265276
2026-04-04,Weekend,1,>91 DPD,IVR,NPA_Offer_EN,4142,833,0.201111
2026-04-04,Weekend,1,Write-off,IVR,Write_Off_EN,3535,618,0.174823
2026-04-05,Weekday,1,1-30 DPD,SMS,Bucket1_EN,2328,,
2026-04-05,Weekday,1,1-30 DPD,Push,Bucket1_EN,6746,,
2026-04-05,Weekday,1,1-30 DPD,IVR,Due_Reminder_EN,14447,5437,0.376341
2026-04-05,Weekday,1,1-30 DPD,NABA,Bucket1_EN,497,495,0.995976
2026-04-05,Weekday,1,31-60 DPD,SMS,Bucket2_EN,1334,,
2026-04-05,Weekday,1,31-60 DPD,Push,Bucket2_EN,4083,,
2026-04-05,Weekday,1,31-60 DPD,IVR,Due_Reminder_EN,6455,1890,0.292796
2026-04-05,Weekday,1,31-60 DPD,NABA,Bucket2_EN,252,251,0.996032
2026-04-05,Weekday,1,61-90 DPD,SMS,PKT3_PreLegal_EN,696,,
2026-04-05,Weekday,1,61-90 DPD,Push,PKT3_PreLegal_EN,1987,,
2026-04-05,Weekday,1,61-90 DPD,IVR,LPC_EN,3950,1080,0.273418
2026-04-05,Weekday,1,61-90 DPD,NABA,PKT3_PreLegal_EN,364,362,0.994505
2026-04-05,Weekday,1,>91 DPD,SMS,NPA_Offer_EN,1817,,
2026-04-05,Weekday,1,>91 DPD,Push,NPA_Offer_EN,4813,,
2026-04-05,Weekday,1,>91 DPD,IVR,NPA_Offer_EN,10303,2028,0.196836
2026-04-05,Weekday,1,>91 DPD,NABA,NPA_Offer_EN,972,963,0.990741
2026-04-05,Weekday,1,Write-off,SMS,Write_Off_EN,1583,,
2026-04-05,Weekday,1,Write-off,Push,Write_Off_EN,3291,,
2026-04-05,Weekday,1,Write-off,IVR,Write_Off_EN,9235,1630,0.176502
2026-04-05,Weekday,1,Write-off,NABA,Write_Off_EN,1002,950,0.948104
2026-04-06,Weekday,1,1-30 DPD,SMS,Bucket1_EN,2315,,
2026-04-06,Weekday,1,1-30 DPD,Push,Bucket1_EN,6670,,
2026-04-06,Weekday,1,1-30 DPD,IVR,Due_Reminder_EN,13743,5258,0.382595
2026-04-06,Weekday,1,1-30 DPD,NABA,Bucket1_EN,479,477,0.995825
2026-04-06,Weekday,1,31-60 DPD,SMS,Bucket2_EN,1279,,
2026-04-06,Weekday,1,31-60 DPD,Push,Bucket2_EN,4257,,
2026-04-06,Weekday,1,31-60 DPD,IVR,Due_Reminder_EN,8018,2375,0.296209
2026-04-06,Weekday,1,31-60 DPD,NABA,Bucket2_EN,260,259,0.996154
2026-04-06,Weekday,1,61-90 DPD,SMS,PKT3_PreLegal_EN,713,,
2026-04-06,Weekday,1,61-90 DPD,Push,PKT3_PreLegal_EN,2126,,
2026-04-06,Weekday,1,61-90 DPD,IVR,LPC_EN,3354,883,0.263268
2026-04-06,Weekday,1,61-90 DPD,NABA,PKT3_PreLegal_EN,358,356,0.994413
2026-04-06,Weekday,1,>91 DPD,SMS,NPA_Offer_EN,1706,,
2026-04-06,Weekday,1,>91 DPD,Push,NPA_Offer_EN,5477,,
2026-04-06,Weekday,1,>91 DPD,IVR,NPA_Offer_EN,11472,2379,0.207374
2026-04-06,Weekday,1,>91 DPD,NABA,NPA_Offer_EN,972,962,0.989712
2026-04-06,Weekday,1,Write-off,SMS,Write_Off_EN,1669,,
2026-04-06,Weekday,1,Write-off,Push,Write_Off_EN,2641,,
2026-04-06,Weekday,1,Write-off,IVR,Write_Off_EN,9083,1603,0.176484
2026-04-06,Weekday,1,Write-off,NABA,Write_Off_EN,823,779,0.946537
2026-04-07,Weekday,1,1-30 DPD,SMS,Bucket1_EN,2463,,
2026-04-07,Weekday,1,1-30 DPD,Push,Bucket1_EN,6651,,
2026-04-07,Weekday,1,1-30 DPD,IVR,Due_Reminder_EN,13171,4668,0.354415
2026-04-07,Weekday,1,1-30 DPD,NABA,Bucket1_EN,463,461,0.99568
2026-04-07,Weekday,1,31-60 DPD,SMS,Bucket2_EN,1453,,
2026-04-07,Weekday,1,31-60 DPD,Push,Bucket2_EN,4842,,
2026-04-07,Weekday,1,31-60 DPD,IVR,Due_Reminder_EN,7646,2392,0.312843
2026-04-07,Weekday,1,31-60 DPD,NABA,Bucket2_EN,260,259,0.996154
2026-04-07,Weekday,1,61-90 DPD,SMS,PKT3_PreLegal_EN,692,,
2026-04-07,Weekday,1,61-90 DPD,Push,PKT3_PreLegal_EN,1967,,
2026-04-07,Weekday,1,61-90 DPD,IVR,LPC_EN,3930,1100,0.279898
2026-04-07,Weekday,1,61-90 DPD,NABA,PKT3_PreLegal_EN,384,382,0.994792
2026-04-07,Weekday,1,>91 DPD,SMS,NPA_Offer_EN,1525,,
2026-04-07,Weekday,1,>91 DPD,Push,NPA_Offer_EN,5342,,
2026-04-07,Weekday,1,>91 DPD,IVR,NPA_Offer_EN,10506,2001,0.190463
2026-04-07,Weekday,1,>91 DPD,NABA,NPA_Offer_EN,953,944,0.990556
2026-04-07,Weekday,1,Write-off,SMS,Write_Off_EN,1443,,
2026-04-07,Weekday,1,Write-off,Push,Write_Off_EN,3101,,
2026-04-07,Weekday,1,Write-off,IVR,Write_Off_EN,10400,1689,0.162404
2026-04-07,Weekday,1,Write-off,NABA,Write_Off_EN,884,838,0.947964
2026-04-08,Weekday,2,1-30 DPD,SMS,Bucket1_EN,2259,,
2026-04-08,Weekday,2,1-30 DPD,Push,Bucket1_EN,7983,,
2026-04-08,Weekday,2,1-30 DPD,IVR,Due_Reminder_EN,14837,5266,0.354924
2026-04-08,Weekday,2,1-30 DPD,NABA,Bucket1_EN,436,434,0.995413
2026-04-08,Weekday,2,31-60 DPD,SMS,Bucket2_EN,1319,,
2026-04-08,Weekday,2,31-60 DPD,Push,Bucket2_EN,4981,,
2026-04-08,Weekday,2,31-60 DPD,IVR,Due_Reminder_EN,7878,2301,0.292079
2026-04-08,Weekday,2,31-60 DPD,NABA,Mobile_Update_EN,220,219,0.995455
2026-04-08,Weekday,2,61-90 DPD,SMS,PKT3_PreLegal_EN,629,,
2026-04-08,Weekday,2,61-90 DPD,Push,PKT3_PreLegal_EN,2045,,
2026-04-08,Weekday,2,61-90 DPD,IVR,LPC_EN,3580,1036,0.289385
2026-04-08,Weekday,2,61-90 DPD,NABA,PKT3_PreLegal_EN,321,319,0.993769
2026-04-08,Weekday,2,>91 DPD,SMS,NPA_Offer_EN,1728,,
2026-04-08,Weekday,2,>91 DPD,Push,NPA_Offer_EN,4587,,
2026-04-08,Weekday,2,>91 DPD,IVR,NPA_Offer_EN,10804,2159,0.199833
2026-04-08,Weekday,2,>91 DPD,NABA,NPA_Offer_EN,956,947,0.990586
2026-04-08,Weekday,2,Write-off,SMS,Write_Off_EN,1644,,
2026-04-08,Weekday,2,Write-off,Push,Write_Off_EN,2766,,
2026-04-08,Weekday,2,Write-off,IVR,Write_Off_EN,8929,1530,0.171352
2026-04-08,Weekday,2,Write-off,NABA,Write_Off_EN,882,835,0.946712
2026-04-09,Weekday,2,1-30 DPD,SMS,Bucket1_EN,2333,,
2026-04-09,Weekday,2,1-30 DPD,Push,Bucket1_EN,6761,,
2026-04-09,Weekday,2,1-30 DPD,IVR,Due_Reminder_EN,15556,5414,0.348033
2026-04-09,Weekday,2,1-30 DPD,NABA,Mobile_Update_EN,465,463,0.995699
2026-04-09,Weekday,2,31-60 DPD,SMS,Bucket2_EN,1433,,
2026-04-09,Weekday,2,31-60 DPD,Push,Bucket2_EN,4974,,
2026-04-09,Weekday,2,31-60 DPD,IVR,Due_Reminder_EN,6583,2016,0.306243
2026-04-09,Weekday,2,31-60 DPD,NABA,Bucket2_EN,232,231,0.99569
2026-04-09,Weekday,2,61-90 DPD,SMS,PKT3_PreLegal_EN,587,,
2026-04-09,Weekday,2,61-90 DPD,Push,PKT3_PreLegal_EN,2001,,
2026-04-09,Weekday,2,61-90 DPD,IVR,LPC_EN,3474,1009,0.290443
2026-04-09,Weekday,2,61-90 DPD,NABA,PKT3_PreLegal_EN,356,354,0.994382
2026-04-09,Weekday,2,>91 DPD,SMS,NPA_Offer_EN,1559,,
2026-04-09,Weekday,2,>91 DPD,Push,NPA_Offer_EN,4873,,
2026-04-09,Weekday,2,>91 DPD,IVR,NPA_Offer_EN,10716,2229,0.208007
2026-04-09,Weekday,2,>91 DPD,NABA,NPA_Offer_EN,993,983,0.98993
2026-04-09,Weekday,2,Write-off,SMS,Write_Off_EN,1651,,
2026-04-09,Weekday,2,Write-off,Push,Write_Off_EN,2989,,
2026-04-09,Weekday,2,Write-off,IVR,Write_Off_EN,9528,1622,0.170235
2026-04-09,Weekday,2,Write-off,NABA,Write_Off_EN,804,761,0.946517
2026-04-10,Weekend,2,1-30 DPD,IVR,Due_Reminder_EN,5215,1747,0.334995
2026-04-10,Weekend,2,31-60 DPD,IVR,Due_Reminder_EN,2289,668,0.29183
2026-04-10,Weekend,2,61-90 DPD,IVR,LPC_EN,1331,354,0.265965
2026-04-10,Weekend,2,>91 DPD,IVR,NPA_Offer_EN,3641,716,0.196649
2026-04-10,Weekend,2,Write-off,IVR,Write_Off_EN,3013,489,0.162297
2026-04-11,Weekend,2,1-30 DPD,IVR,Due_Reminder_EN,4707,1655,0.351604
2026-04-11,Weekend,2,31-60 DPD,IVR,Due_Reminder_EN,2271,650,0.286218
2026-04-11,Weekend,2,61-90 DPD,IVR,LPC_EN,1172,296,0.25256
2026-04-11,Weekend,2,>91 DPD,IVR,NPA_Offer_EN,4435,881,0.198647
2026-04-11,Weekend,2,Write-off,IVR,Write_Off_EN,3729,608,0.163046
2026-04-12,Weekday,2,1-30 DPD,SMS,Bucket1_EN,2699,,
2026-04-12,Weekday,2,1-30 DPD,Push,Bucket1_EN,6873,,
2026-04-12,Weekday,2,1-30 DPD,IVR,Due_Reminder_EN,12985,4573,0.352176
2026-04-12,Weekday,2,1-30 DPD,NABA,Bucket1_EN,413,411,0.995157
2026-04-12,Weekday,2,31-60 DPD,SMS,Bucket2_EN,1300,,
2026-04-12,Weekday,2,31-60 DPD,Push,Mobile_Update_EN,4442,,
2026-04-12,Weekday,2,31-60 DPD,IVR,Due_Reminder_EN,7761,2185,0.281536
2026-04-12,Weekday,2,31-60 DPD,NABA,Bucket2_EN,235,234,0.995745
2026-04-12,Weekday,2,61-90 DPD,SMS,PKT3_PreLegal_EN,693,,
2026-04-12,Weekday,2,61-90 DPD,Push,PKT3_PreLegal_EN,2243,,
2026-04-12,Weekday,2,61-90 DPD,IVR,LPC_EN,4121,1100,0.266926
2026-04-12,Weekday,2,61-90 DPD,NABA,PKT3_PreLegal_EN,405,403,0.995062
2026-04-12,Weekday,2,>91 DPD,SMS,NPA_Offer_EN,1861,,
2026-04-12,Weekday,2,>91 DPD,Push,NPA_Offer_EN,4921,,
2026-04-12,Weekday,2,>91 DPD,IVR,NPA_Offer_EN,10202,2213,0.216918
2026-04-12,Weekday,2,>91 DPD,NABA,NPA_Offer_EN,943,934,0.990456
2026-04-12,Weekday,2,Write-off,SMS,Write_Off_EN,1472,,
2026-04-12,Weekday,2,Write-off,Push,Write_Off_EN,3017,,
2026-04-12,Weekday,2,Write-off,IVR,Write_Off_EN,10557,1702,0.16122
2026-04-12,Weekday,2,Write-off,NABA,Write_Off_EN,979,927,0.946885
2026-04-13,Weekday,2,1-30 DPD,SMS,Bucket1_EN,2223,,
2026-04-13,Weekday,2,1-30 DPD,Push,Bucket1_EN,6828,,
2026-04-13,Weekday,2,1-30 DPD,IVR,Due_Reminder_EN,15570,5201,0.33404
2026-04-13,Weekday,2,1-30 DPD,NABA,Bucket1_EN,449,447,0.995546
2026-04-13,Weekday,2,31-60 DPD,SMS,Bucket2_EN,1498,,
2026-04-13,Weekday,2,31-60 DPD,Push,Bucket2_EN,4708,,
2026-04-13,Weekday,2,31-60 DPD,IVR,Due_Reminder_EN,7694,2176,0.282818
2026-04-13,Weekday,2,31-60 DPD,NABA,Bucket2_EN,261,260,0.996169
2026-04-13,Weekday,2,61-90 DPD,SMS,PKT3_PreLegal_EN,588,,
2026-04-13,Weekday,2,61-90 DPD,Push,PKT3_PreLegal_EN,2152,,
2026-04-13,Weekday,2,61-90 DPD,IVR,LPC_EN,4172,1084,0.259827
2026-04-13,Weekday,2,61-90 DPD,NABA,PKT3_PreLegal_EN,342,340,0.994152
2026-04-13,Weekday,2,>91 DPD,SMS,NPA_Offer_EN,1843,,
2026-04-13,Weekday,2,>91 DPD,Push,NPA_Offer_EN,5051,,
2026-04-13,Weekday,2,>91 DPD,IVR,NPA_Offer_EN,11648,2258,0.193853
2026-04-13,Weekday,2,>91 DPD,NABA,NPA_Offer_EN,1067,1057,0.990628
2026-04-13,Weekday,2,Write-off,SMS,Write_Off_EN,1614,,
2026-04-13,Weekday,2,Write-off,Push,Write_Off_EN,3067,,
2026-04-13,Weekday,2,Write-off,IVR,Write_Off_EN,8894,1467,0.164943
2026-04-13,Weekday,2,Write-off,NABA,Write_Off_EN,817,774,0.947368
2026-04-14,Weekday,2,1-30 DPD,SMS,Mobile_Update_EN,2574,,
2026-04-14,Weekday,2,1-30 DPD,Push,Bucket1_EN,7422,,
2026-04-14,Weekday,2,1-30 DPD,IVR,Due_Reminder_EN,14165,4998,0.352842
2026-04-14,Weekday,2,1-30 DPD,NABA,Bucket1_EN,488,486,0.995902
2026-04-14,Weekday,2,31-60 DPD,SMS,Mobile_Update_EN,1223,,
2026-04-14,Weekday,2,31-60 DPD,Push,Mobile_Update_EN,4456,,
2026-04-14,Weekday,2,31-60 DPD,IVR,Due_Reminder_EN,6796,2194,0.322837
2026-04-14,Weekday,2,31-60 DPD,NABA,Mobile_Update_EN,258,257,0.996124
2026-04-14,Weekday,2,61-90 DPD,SMS,PKT3_PreLegal_EN,688,,
2026-04-14,Weekday,2,61-90 DPD,Push,PKT3_PreLegal_EN,1971,,
2026-04-14,Weekday,2,61-90 DPD,IVR,LPC_EN,3862,992,0.256862
2026-04-14,Weekday,2,61-90 DPD,NABA,PKT3_PreLegal_EN,328,326,0.993902
2026-04-14,Weekday,2,>91 DPD,SMS,NPA_Offer_EN,1626,,
2026-04-14,Weekday,2,>91 DPD,Push,NPA_Offer_EN,4617,,
2026-04-14,Weekday,2,>91 DPD,IVR,NPA_Offer_EN,10699,2187,0.204412
2026-04-14,Weekday,2,>91 DPD,NABA,NPA_Offer_EN,919,910,0.990207
2026-04-14,Weekday,2,Write-off,SMS,Write_Off_EN,1566,,
2026-04-14,Weekday,2,Write-off,Push,Write_Off_EN,3288,,
2026-04-14,Weekday,2,Write-off,IVR,Write_Off_EN,10530,1874,0.177968
2026-04-14,Weekday,2,Write-off,NABA,Write_Off_EN,924,875,0.94697
2026-04-15,Weekday,3,1-30 DPD,SMS,Bucket1_EN,2790,,
2026-04-15,Weekday,3,1-30 DPD,Push,Bucket1_EN,7424,,
2026-04-15,Weekday,3,1-30 DPD,IVR,Due_Reminder_EN,15074,5490,0.364203
2026-04-15,Weekday,3,1-30 DPD,NABA,Bucket1_EN,404,402,0.99505
2026-04-15,Weekday,3,31-60 DPD,SMS,Bucket2_EN,1262,,
2026-04-15,Weekday,3,31-60 DPD,Push,Bucket2_EN,4538,,
2026-04-15,Weekday,3,31-60 DPD,IVR,Due_Reminder_EN,7435,2365,0.31809
2026-04-15,Weekday,3,31-60 DPD,NABA,Bucket2_EN,223,222,0.995516
2026-04-15,Weekday,3,61-90 DPD,SMS,PKT3_PreLegal_EN,681,,
2026-04-15,Weekday,3,61-90 DPD,Push,PKT3_PreLegal_EN,2034,,
2026-04-15,Weekday,3,61-90 DPD,IVR,LPC_EN,3595,940,0.261474
2026-04-15,Weekday,3,61-90 DPD,NABA,Legal_Warning_EN,332,330,0.993976
2026-04-15,Weekday,3,>91 DPD,SMS,NPA_Offer_EN,1664,,
2026-04-15,Weekday,3,>91 DPD,Push,NPA_Offer_EN,5242,,
2026-04-15,Weekday,3,>91 DPD,IVR,NPA_Offer_EN,11768,2551,0.216774
2026-04-15,Weekday,3,>91 DPD,NABA,NPA_Offer_EN,898,890,0.991091
2026-04-15,Weekday,3,Write-off,SMS,Write_Off_EN,1576,,
2026-04-15,Weekday,3,Write-off,Push,Write_Off_EN,3101,,
2026-04-15,Weekday,3,Write-off,IVR,Write_Off_EN,9404,1547,0.164504
2026-04-15,Weekday,3,Write-off,NABA,Write_Off_EN,840,795,0.946429
2026-04-16,Weekday,3,1-30 DPD,SMS,Bucket1_EN,2385,,
2026-04-16,Weekday,3,1-30 DPD,Push,Bucket1_EN,7161,,
2026-04-16,Weekday,3,1-30 DPD,IVR,Due_Reminder_EN,14479,5649,0.390151
2026-04-16,Weekday,3,1-30 DPD,NABA,Bucket1_EN,416,415,0.997596
2026-04-16,Weekday,3,31-60 DPD,SMS,Bucket2_EN,1475,,
2026-04-16,Weekday,3,31-60 DPD,Push,Bucket2_EN,4553,,
2026-04-16,Weekday,3,31-60 DPD,IVR,Due_Reminder_EN,6703,1995,0.297628
2026-04-16,Weekday,3,31-60 DPD,NABA,Bucket2_EN,245,244,0.995918
2026-04-16,Weekday,3,61-90 DPD,SMS,PKT3_PreLegal_EN,633,,
2026-04-16,Weekday,3,61-90 DPD,Push,PKT3_PreLegal_EN,2059,,
2026-04-16,Weekday,3,61-90 DPD,IVR,LPC_EN,3492,983,0.281501
2026-04-16,Weekday,3,61-90 DPD,NABA,PKT3_PreLegal_EN,361,359,0.99446
2026-04-16,Weekday,3,>91 DPD,SMS,NPA_Offer_EN,1909,,
2026-04-16,Weekday,3,>91 DPD,Push,NPA_Offer_EN,5574,,
2026-04-16,Weekday,3,>91 DPD,IVR,NPA_Offer_EN,10986,2394,0.217914
2026-04-16,Weekday,3,>91 DPD,NABA,NPA_Offer_EN,1060,1050,0.990566
2026-04-16,Weekday,3,Write-off,SMS,Write_Off_EN,1729,,
2026-04-16,Weekday,3,Write-off,Push,Write_Off_EN,2661,,
2026-04-16,Weekday,3,Write-off,IVR,Write_Off_EN,10235,1855,0.181241
2026-04-16,Weekday,3,Write-off,NABA,Write_Off_EN,886,839,0.946953
2026-04-17,Weekend,3,1-30 DPD,IVR,Due_Reminder_EN,4541,1525,0.335829
2026-04-17,Weekend,3,31-60 DPD,IVR,Due_Reminder_EN,2805,910,0.324421
2026-04-17,Weekend,3,61-90 DPD,IVR,LPC_EN,1341,384,0.286353
2026-04-17,Weekend,3,>91 DPD,IVR,NPA_Offer_EN,3536,689,0.194853
2026-04-17,Weekend,3,Write-off,IVR,Write_Off_EN,3615,591,0.163485
2026-04-18,Weekend,3,1-30 DPD,IVR,Due_Reminder_EN,4324,1523,0.35222
2026-04-18,Weekend,3,31-60 DPD,IVR,Due_Reminder_EN,2514,780,0.310263
2026-04-18,Weekend,3,61-90 DPD,IVR,LPC_EN,1272,344,0.27044
2026-04-18,Weekend,3,>91 DPD,IVR,NPA_Offer_EN,3505,674,0.192297
2026-04-18,Weekend,3,Write-off,IVR,Write_Off_EN,3729,670,0.179673
2026-04-19,Weekday,3,1-30 DPD,SMS,Bucket1_EN,2222,,
2026-04-19,Weekday,3,1-30 DPD,Push,Bucket1_EN,6836,,
2026-04-19,Weekday,3,1-30 DPD,IVR,Due_Reminder_EN,13565,4836,0.356506
2026-04-19,Weekday,3,1-30 DPD,NABA,Bucket1_EN,499,497,0.995992
2026-04-19,Weekday,3,31-60 DPD,SMS,Bucket2_EN,1271,,
2026-04-19,Weekday,3,31-60 DPD,Push,Bucket2_EN,4261,,
2026-04-19,Weekday,3,31-60 DPD,IVR,Due_Reminder_EN,7561,2368,0.313186
2026-04-19,Weekday,3,31-60 DPD,NABA,Bucket2_EN,223,222,0.995516
2026-04-19,Weekday,3,61-90 DPD,SMS,PKT3_PreLegal_EN,581,,
2026-04-19,Weekday,3,61-90 DPD,Push,PKT3_PreLegal_EN,2225,,
2026-04-19,Weekday,3,61-90 DPD,IVR,LPC_EN,4145,1087,0.262244
2026-04-19,Weekday,3,61-90 DPD,NABA,PKT3_PreLegal_EN,328,326,0.993902
2026-04-19,Weekday,3,>91 DPD,SMS,NPA_Offer_EN,1821,,
2026-04-19,Weekday,3,>91 DPD,Push,NPA_Offer_EN,4973,,
2026-04-19,Weekday,3,>91 DPD,IVR,NPA_Offer_EN,10192,1978,0.194074
2026-04-19,Weekday,3,>91 DPD,NABA,NPA_Offer_EN,983,973,0.989827
2026-04-19,Weekday,3,Write-off,SMS,Write_Off_EN,1500,,
2026-04-19,Weekday,3,Write-off,Push,Write_Off_EN,2906,,
2026-04-19,Weekday,3,Write-off,IVR,Write_Off_EN,9342,1504,0.160993
2026-04-19,Weekday,3,Write-off,NABA,Write_Off_EN,945,894,0.946032
2026-04-20,Weekday,3,1-30 DPD,SMS,Bucket1_EN,2341,,
2026-04-20,Weekday,3,1-30 DPD,Push,Bucket1_EN,7214,,
2026-04-20,Weekday,3,1-30 DPD,IVR,Due_Reminder_EN,15445,5732,0.371123
2026-04-20,Weekday,3,1-30 DPD,NABA,Bucket1_EN,511,509,0.996086
2026-04-20,Weekday,3,31-60 DPD,SMS,Bucket2_EN,1364,,
2026-04-20,Weekday,3,31-60 DPD,Push,Bucket2_EN,4999,,
2026-04-20,Weekday,3,31-60 DPD,IVR,Due_Reminder_EN,6705,2047,0.305295
2026-04-20,Weekday,3,31-60 DPD,NABA,Bucket2_EN,253,252,0.996047
2026-04-20,Weekday,3,61-90 DPD,SMS,PKT3_PreLegal_EN,643,,
2026-04-20,Weekday,3,61-90 DPD,Push,PKT3_PreLegal_EN,2234,,
2026-04-20,Weekday,3,61-90 DPD,IVR,LPC_EN,3821,1056,0.276367
2026-04-20,Weekday,3,61-90 DPD,NABA,PKT3_PreLegal_EN,371,369,0.994609
2026-04-20,Weekday,3,>91 DPD,SMS,NPA_Offer_EN,1899,,
2026-04-20,Weekday,3,>91 DPD,Push,NPA_Offer_EN,5130,,
2026-04-20,Weekday,3,>91 DPD,IVR,NPA_Offer_EN,11354,2262,0.199225
2026-04-20,Weekday,3,>91 DPD,NABA,NPA_Offer_EN,1042,1031,0.989443
2026-04-20,Weekday,3,Write-off,SMS,Write_Off_EN,1515,,
2026-04-20,Weekday,3,Write-off,Push,Write_Off_EN,2702,,
2026-04-20,Weekday,3,Write-off,IVR,Write_Off_EN,9549,1630,0.170699
2026-04-20,Weekday,3,Write-off,NABA,Write_Off_EN,951,901,0.947424
2026-04-21,Weekday,3,1-30 DPD,SMS,Bucket1_EN,2566,,
2026-04-21,Weekday,3,1-30 DPD,Push,Bucket1_EN,8123,,
2026-04-21,Weekday,3,1-30 DPD,IVR,Due_Reminder_EN,13099,4628,0.353309
2026-04-21,Weekday,3,1-30 DPD,NABA,Bucket1_EN,509,507,0.996071
2026-04-21,Weekday,3,31-60 DPD,SMS,Bucket2_EN,1232,,
2026-04-21,Weekday,3,31-60 DPD,Push,Bucket2_EN,4613,,
2026-04-21,Weekday,3,31-60 DPD,IVR,Due_Reminder_EN,7363,2048,0.278147
2026-04-21,Weekday,3,31-60 DPD,NABA,Bucket2_EN,239,238,0.995816
2026-04-21,Weekday,3,61-90 DPD,SMS,PKT3_PreLegal_EN,628,,
2026-04-21,Weekday,3,61-90 DPD,Push,Legal_Warning_EN,2007,,
2026-04-21,Weekday,3,61-90 DPD,IVR,LPC_EN,3692,961,0.260293
2026-04-21,Weekday,3,61-90 DPD,NABA,PKT3_PreLegal_EN,401,399,0.995012
2026-04-21,Weekday,3,>91 DPD,SMS,NPA_Offer_EN,1591,,
2026-04-21,Weekday,3,>91 DPD,Push,NPA_Offer_EN,5702,,
